basic_trend_following,basic_mean_reversion,basic_breakout,basic_momentum,portfolio_enhanced_momentum,portfolio_enhanced_trend,portfolio_enhanced_breakout,portfolio_enhanced_mean_reversion
65109750.75242597,66177476.00975117,63128515.48465736,64721260.002618365,864575.60686835,956965.946313262,1019984.4774613021,1081082.0810546875
64928550.31112881,65833027.44787926,62786420.55478956,64567654.43285637,863027.6617141599,961022.0107129812,1023901.6710197566,1051296.0604372025
64988402.886389926,66350349.50598594,62970263.07271896,64729639.78912597,853821.4269719953,959282.1841567755,1022929.5612949965,1096570.9191265106
65241971.05931397,66782018.359414324,63532003.58415271,65165812.39271455,850421.6961890096,981266.4951018095,1015632.1159152625,1156142.7731218338
65547087.23875971,67356826.95503452,64141040.01644622,65886504.160100035,860016.0018773908,995230.2339323759,1018138.1306392787,1238352.2124948502
65665705.09301324,67660953.44286245,64507503.113668606,66153308.49109774,870140.5002880925,994588.863684535,1026234.4472481845,1238352.2124948502
66025845.15148683,68245230.89375728,65064815.25217129,66910232.518300466,863666.7569633359,1006388.5735453367,1029454.8066262839,1238352.2124948502
66075585.74696092,68594186.98677012,65025116.098284885,67037949.62791624,877687.5369253987,1000513.3058341742,1003027.4820522902,1238352.2124948502
66135114.88563354,68519077.60619743,65054934.986266375,67010576.728877835,896135.1618009442,1010942.9913238287,1009969.197945082,1238352.2124948502
67328714.32137997,69481053.87803683,65620167.09529614,68092052.1760531,872897.9018336171,1029426.4757980108,1019416.5718578933,1238352.2124948502
67865629.86205657,69682603.36000943,66001602.719258875,68571619.05790955,880965.7587242955,1032353.6366561651,1030768.8957218764,1238352.2124948502
68148489.63652487,69758392.1938642,66229086.45776002,68838069.00685912,890246.529234969,1043001.5031951666,1041864.3826183913,1230067.1861043856
67940771.1572928,69682793.98668134,66035916.85195982,68671946.3754695,894662.5936370725,1055356.5467056036,1030473.9127659438,1222877.439513051
67289363.73214997,69703568.99623787,65748278.05321381,68094684.10214692,893488.3805323476,1030187.1393874884,1028895.7639126418,1287014.4523838875
68251801.11432198,69769481.50888912,66266443.54521256,68997052.70376855,900117.9169860715,1042751.992277503,1042551.6519264815,1295840.4089977825
69473537.46181443,69792212.24826926,67252710.65842405,70336766.06738955,939142.4947601194,1053557.4142593145,1058290.6063809036,1303344.4506236045
69797882.3244715,69845984.14651625,67563705.07837868,70595539.92742068,946572.8239045972,1062981.7771285772,1057960.376692259,1325080.0053391126
69846338.18288992,69873618.08497459,67653870.90868431,70562577.91531698,944208.3698831433,1053616.1868499517,1059012.4462567635,1325080.0053391126
70388664.3565105,70052044.18051232,68194545.96356112,71409315.17082246,968895.6344352597,1051405.4573959112,1058766.5551291336,1325080.0053391126
70880715.89528039,70025875.66314045,68592686.00173917,71914165.91424803,973280.4447875852,1055532.7085784674,1081704.721070755,1325080.0053391126
